loan_status,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
Fully Paid,1077501,1296599,5000,5000,4975, 36 months,10.65,162.87,B,B2,,10+ years,RENT,24000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077501,  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>,credit_card,Computer,860xx,AZ,27.65,0,Jan-1985,1,,,3,0,13648,83.7,9,f,0,0,5861.07141425,5831.78,5000,861.07,0,0,0,Jan-2015,171.62,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1077430,1314167,2500,2500,2500, 60 months,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077430,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,Apr-1999,5,,,3,0,1687,9.4,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,Apr-2013,119.66,,Sep-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1077175,1313524,2400,2400,2400, 36 months,15.96,84.33,C,C5,,10+ years,RENT,12252,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077175,,small_business,real estate business,606xx,IL,8.72,0,Nov-2001,2,,,2,0,2956,98.5,10,f,0,0,3003.65364445,3003.65,2400,603.65,0,0,0,Jun-2014,649.91,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1076863,1277178,10000,10000,10000, 36 months,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1076863,"  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>",other,personel,917xx,CA,20,0,Feb-1996,1,35,,10,0,5598,21,37,f,0,0,12226.3022123,12226.3,10000,2209.33,16.97,0,0,Jan-2015,357.48,,Jan-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1075358,1311748,3000,3000,3000, 60 months,12.69,67.79,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075358,"  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>",other,Personal,972xx,OR,17.94,0,Jan-1996,0,38,,15,0,27783,53.9,38,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0,0,0,Jan-2016,67.79,Feb-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1075269,1311441,5000,5000,5000, 36 months,7.9,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075269,,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,Nov-2004,3,,,9,0,7963,28.3,12,f,0,0,5631.37775318,5631.38,5000,631.38,0,0,0,Jan-2015,161.03,,Sep-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1069639,1304742,7000,7000,7000, 60 months,15.96,170.08,C,C5,Southern Star Photography,8 years,RENT,47004,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069639,"  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>",debt_consolidation,Loan,280xx,NC,23.51,0,Jul-2005,1,,,7,0,17726,85.6,11,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0,0,0,Jan-2016,170.08,Feb-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1072053,1288686,3000,3000,3000, 36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1072053,  Borrower added on 12/16/11 > Downpayment for a car.<br>,car,Car Downpayment,900xx,CA,5.35,0,Jan-2007,2,,,4,0,8221,87.5,4,f,0,0,3938.14433376,3938.14,3000,938.14,0,0,0,Jan-2015,111.34,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1071795,1306957,5600,5600,5600, 60 months,21.28,152.39,F,F2,,4 years,OWN,40000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071795,  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,Apr-2004,2,,,11,0,5210,32.6,13,f,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,Apr-2012,152.39,,Aug-2012,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1071570,1306721,5375,5375,5350, 60 months,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071570,"  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>",other,Building my credit history.,774xx,TX,18.08,0,Sep-2004,0,,,2,0,9279,36.5,3,f,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,Nov-2012,121.45,,Mar-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1070078,1305201,6500,6500,6500, 60 months,14.65,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1070078,"  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,Jan-1998,2,,,14,0,4032,20.6,23,f,0,0,7677.52,7677.52,6500,1177.52,0,0,0,Jun-2013,1655.54,,Dec-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1069908,1305008,12000,12000,12000, 36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069908,,debt_consolidation,Consolidation,913xx,CA,10.78,0,Oct-1989,0,,,12,0,23336,67.1,34,f,0,0,13943.08,13943.08,12000,1943.08,0,0,0,Sep-2013,6315.3,,Aug-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
